product_id,name,main_category,image,ratings,no_of_ratings,actual_price,source_file
P000001,BuddsBuddy Olive Oil Based Natural Wipes With Lid for Babies with the goodness of Aloe Vera & Olive Oil | Moisturizing wip...,Baby Products,https://m.media-amazon.com/images/I/41dGdNxNd0L._AC_UL320_.jpg,4.4,354.0,375.0,Baby Products.csv
P000002,Mamaearth Charcoal Nourishing Soap With Charcoal and Mint for Deep Cleansing - 5x75g,Baby Products,https://m.media-amazon.com/images/I/61WSTHJYSOS._AC_UL320_.jpg,4.0,1447.0,375.0,Baby Products.csv
P000003,NammaBaby Cotton Pajama Pants with All Over Print for Boys and Girls (Multicolor Designs)(Regular Fit)(Pack of 5),Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61PRmZPH96L._AC_UL320_.jpg,4.0,13156.0,1999.0,Baby Products.csv
P000004,"Luv Lap Baby Safety Electrical Socket Plug Cover Guards, White,5Pcs",Baby Products,https://m.media-amazon.com/images/I/81VP2LspH+L._AC_UL320_.jpg,4.2,1536.0,179.0,Baby Products.csv
P000005,Mamaearth Vitamin C Oil-Free Moisturizer For Face With Vitamin C & Gotu Kola For Skin Illumination - 80 Ml,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61f+TzAIssS._AC_UL320_.jpg,4.1,3395.0,319.0,Baby Products.csv
P000006,"Pigeon Peristaltic Nipple Y Cut,For 6+ Month Babies,BPS Free,BPA Free",Baby Products,https://m.media-amazon.com/images/I/613CSQdrPLS._AC_UL320_.jpg,4.2,246.0,99.0,Baby Products.csv
P000007,"BOFFLE® Cotton Swing Chair for Kids Baby's Children Folding and Washable1-6 Years with Safety Belt/Home,Garden Jhula for B...",Baby Products,https://m.media-amazon.com/images/I/81mNZb+RIiS._AC_UL320_.jpg,4.0,700.0,1599.0,Baby Products.csv
P000008,"Mommypure Dewy Love Natural Baby Face Cream With Cocoa Butter For Deep Moisturisation | Clean, Natural & Nourishing Protec...",Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71O0hlzc1GS._AC_UL320_.jpg,4.1,260.0,449.0,Baby Products.csv
P000009,Niren Enterprise Bullfinch Floral Printed Modal Baby Frock for Kids Dress,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51+7Im3xCQL._AC_UL320_.jpg,5.0,1.0,1999.0,Baby Products.csv
P000010,PediflorKidz Anticavity Fluoride Green Apple and Orange Flavor Toothpaste for children | 70g x 2 pack | Family combo pack...,Baby Products,https://m.media-amazon.com/images/I/61isN10gczL._AC_UL320_.jpg,4.4,2090.0,220.0,Baby Products.csv
P000011,Funvention- for Little Scientist in Every Kid Fun Fidgets - Assorted - Pack of 24 (6 x 4 DIY Miniature Mechanical Models (...,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81nkZeHD3JL._AC_UL320_.jpg,3.9,26.0,3576.0,Baby Products.csv
P000012,DearJoy Baby Safety Helmet also used as Baby Head Protector + Kneepads (Orange Helmet & Pink Kneepads),Baby Products,https://m.media-amazon.com/images/I/61nsQ94WczL._AC_UL320_.jpg,3.8,6696.0,2000.0,Baby Products.csv
